,stocks,dates,BasicEPS,DilutedEPS,CashEPS,DivPS,OpRev,NPS,ROCE,NPMargin,ROA,ROE2Networth,EntValue,EntValuePerNetSales,Price2Book,Price2Sales,RetentionRatios,EarningYield,AssetTurnRatio,EVPerEBITDA,PBDITMargin
408,SHREECEM,Jun 13,288.19,288.19,413.20,20.00,1604.55,288.17,21.16,17.95,16.29,26.12,16870.97,3.02,4.23,2.91,93.05,0.06,90.74,9.64,31.29
409,SHREECEM,Jun 12,177.54,177.54,428.13,20.00,1692.92,177.53,15.70,10.48,10.35,22.62,11010.89,1.87,3.84,1.78,88.73,0.06,98.75,6.09,30.66
410,CIPLA,Mar 21,30.61,30.57,37.50,5.00,172.37,30.61,16.75,17.75,10.74,12.38,64871.04,4.67,3.30,4.73,0.00,0.04,60.53,16.42,28.42
411,CIPLA,Mar 20,28.76,28.72,36.19,4.00,157.01,28.75,16.86,18.31,11.36,13.32,33587.37,2.65,1.96,2.69,75.65,0.07,62.03,9.33,28.43
412,CIPLA,Mar 19,23.45,23.41,30.51,3.00,153.58,23.44,15.63,15.26,10.25,11.96,42471.14,3.43,2.70,3.45,87.20,0.04,67.18,13.79,24.88
413,CIPLA,Mar 18,18.25,18.22,24.82,3.00,141.47,18.24,13.93,12.89,8.59,10.40,43683.96,3.84,3.10,3.84,89.04,0.03,66.62,17.26,22.21
414,CIPLA,Mar 17,12.13,12.11,18.33,2.00,133.85,12.12,9.39,9.05,6.24,7.61,47916.41,4.45,3.72,4.42,83.49,0.02,68.99,27.76,16.02
415,CIPLA,Mar 16,18.21,18.16,23.71,2.00,150.83,18.20,11.90,12.06,9.59,12.20,42228.95,3.48,3.43,3.40,87.62,0.04,79.51,18.10,19.25
416,CIPLA,Mar 15,14.71,14.66,20.10,2.00,126.18,14.71,10.17,11.65,7.77,10.65,58403.65,5.76,5.15,5.64,86.40,0.02,66.69,27.69,20.81
417,CIPLA,Mar 14,17.29,17.29,21.32,2.00,116.83,17.29,13.21,14.80,10.74,13.76,31638.57,3.37,3.06,3.28,88.43,0.05,72.58,13.94,24.19
418,CIPLA,Mar 13,18.77,18.77,22.55,2.00,102.16,18.77,16.33,18.37,13.11,17.00,31350.87,3.82,3.44,3.72,89.34,0.05,71.36,13.35,28.62
419,CIPLA,Mar 12,14.00,14.00,17.51,2.00,86.90,14.00,14.38,16.10,12.49,14.90,24409.46,3.50,3.24,3.50,85.71,0.05,77.58,14.11,24.79
420,BPCL,Mar 21,96.44,96.12,109.99,79.00,1111.11,90.98,20.37,8.18,13.54,34.91,103778.24,0.45,1.64,0.39,76.07,0.21,165.38,4.83,9.23
421,BPCL,Mar 20,13.64,13.64,32.90,16.50,1445.86,13.64,8.79,0.94,2.12,8.07,100250.66,0.35,1.87,0.22,-79.59,0.04,224.86,10.31,3.41
422,BPCL,Mar 19,36.26,36.26,52.48,19.00,1511.40,36.26,17.19,2.39,6.16,19.41,105071.20,0.35,2.12,0.26,50.35,0.09,257.09,7.03,5.02
423,BPCL,Mar 18,40.55,40.55,54.04,21.00,1202.01,40.55,21.87,3.37,7.96,23.36,106841.33,0.45,2.47,0.36,63.83,0.09,236.11,7.23,6.24
424,BPCL,Mar 17,40.87,40.87,75.73,32.50,1542.12,61.31,23.79,3.97,8.73,27.09,106032.68,0.52,2.87,0.42,29.84,0.09,219.81,7.90,6.64
425,BPCL,Mar 16,102.78,102.78,128.43,31.00,2618.01,102.78,16.77,3.92,9.78,27.36,76835.19,0.41,2.40,0.34,69.83,0.11,249.11,5.88,6.90
426,BPCL,Mar 15,70.32,70.32,105.11,22.50,3292.68,70.32,13.70,2.13,7.29,22.63,68982.94,0.29,2.61,0.25,68.00,0.09,341.44,6.56,4.41
427,BPCL,Mar 14,56.16,56.16,87.23,17.00,3596.57,56.16,11.99,1.56,5.60,20.86,53071.67,0.20,1.71,0.13,69.72,0.12,359.06,5.55,3.67
428,BPCL,Mar 13,36.55,36.55,63.19,11.00,3320.74,36.55,10.87,1.10,3.94,15.88,48581.20,0.20,1.64,0.11,69.90,0.10,358.44,6.24,3.24
429,BPCL,Mar 12,36.27,36.27,88.40,11.00,5863.06,36.27,6.92,0.61,1.99,8.79,45550.08,0.21,1.70,0.12,69.67,0.05,323.09,8.18,2.62
430,BRITANNIA,Mar 21,73.12,73.09,79.98,157.50,513.86,73.06,60.59,14.21,23.73,53.02,89087.38,7.20,26.33,7.06,-61.34,0.02,166.92,33.69,21.35
431,BRITANNIA,Mar 20,61.75,61.73,68.02,35.00,456.83,61.72,38.79,13.50,20.46,34.72,65849.04,5.99,15.13,5.89,71.55,0.02,151.47,31.27,19.16
432,BRITANNIA,Mar 19,46.71,46.68,52.32,15.00,436.22,46.70,42.19,10.70,19.85,27.78,74019.04,7.06,18.33,7.07,73.25,0.02,185.43,39.95,17.67
433,BRITANNIA,Mar 18,78.96,78.92,88.93,25.00,775.02,78.96,29.06,10.18,20.48,29.29,59594.32,6.41,18.45,6.41,72.13,0.02,201.06,38.05,16.83
434,BRITANNIA,Mar 17,70.31,70.30,78.34,22.00,701.20,70.31,32.36,10.02,22.82,32.67,40541.69,4.82,15.72,4.82,71.55,0.02,227.65,30.05,16.03
435,BRITANNIA,Mar 16,62.44,62.43,69.67,20.00,662.33,62.42,43.43,9.42,24.42,44.05,32082.29,4.04,18.88,4.04,67.96,0.02,259.12,26.08,15.47
436,BRITANNIA,Mar 15,51.90,51.89,61.67,16.00,598.25,51.89,49.41,8.67,25.28,50.37,25705.27,3.58,20.95,3.61,69.17,0.02,291.47,29.92,11.97
437,BRITANNIA,Mar 14,30.87,30.87,36.12,12.00,525.83,30.83,41.74,5.86,20.05,43.33,10050.54,1.59,11.85,1.60,61.08,0.04,341.96,15.92,10.01
438,BRITANNIA,Mar 13,19.57,19.55,24.34,8.50,469.72,19.56,28.68,4.16,13.89,36.74,6393.18,1.14,9.85,1.12,56.53,0.04,333.65,14.97,7.60
439,BRITANNIA,Mar 12,15.63,15.62,19.59,8.50,416.42,15.63,26.94,3.75,11.16,35.90,7074.62,1.42,13.61,1.42,45.63,0.03,297.43,20.95,6.79
440,INDUSINDBK,Mar 21,38.75,38.68,40.62,5.00,374.98,36.68,3.34,9.78,0.78,6.58,363436.81,12.53,1.71,2.54,100.00,0.04,---,---,---
441,INDUSINDBK,Mar 20,63.75,63.52,67.71,0.00,415.02,63.70,3.62,15.34,1.43,12.84,273471.61,9.50,0.71,0.85,100.00,0.18,---,---,---
442,INDUSINDBK,Mar 19,54.90,54.46,58.57,7.50,369.37,54.77,3.00,14.82,1.18,12.52,339632.69,15.26,4.07,4.82,86.30,0.03,---,---,---
443,INDUSINDBK,Mar 18,60.19,59.57,63.60,7.50,287.91,60.08,3.11,20.86,1.62,15.35,286741.92,16.59,4.59,6.24,88.01,0.03,---,---,---
444,INDUSINDBK,Mar 17,48.06,47.56,51.13,6.00,240.84,47.95,3.21,19.90,1.60,14.14,225583.24,15.66,4.16,5.85,99.98,0.03,---,---,---
445,INDUSINDBK,Mar 16,39.68,39.26,41.06,4.50,194.64,38.43,3.11,19.74,1.63,13.20,168206.04,14.52,3.32,4.97,87.20,0.04,---,---,---
